"cond" "sub" "item" "lag" "resp"
1 17 0 131.728195860763 2
0 28 0 0 2
1 4 0 6.72819586076332 5
1 77 0 -65.2718041392367 1
0 62 0 0 2
1 37 0 -7.27180413923668 5
1 76 0 203.728195860763 5
0 36 0 0 1
1 68 0 -106.271804139237 5
1 7 0 -38.2718041392367 5
0 19 0 0 0
0 54 0 0 2
0 43 0 0 1
1 6 0 -209.271804139237 3
1 41 0 233.728195860763 5
1 86 0 -266.271804139237 5
0 53 0 0 0
1 3 0 6.72819586076332 2
1 14 0 3.72819586076332 5
1 67 0 -30.2718041392367 5
0 40 0 0 0
0 82 0 0 0
0 24 0 0 1
0 66 0 0 1
0 58 0 0 1
0 44 0 0 0
0 69 0 0 0
1 87 0 54.7281958607633 5
0 29 0 0 5
0 52 0 0 2
0 75 0 0 1
0 2 0 0 4
1 84 0 55.7281958607633 5
0 96 0 0 0
1 65 0 169.728195860763 4
0 46 0 0 0
0 93 0 0 1
1 22 0 -147.271804139237 2
0 48 0 0 2
1 31 0 -28.2718041392367 4
0 57 0 0 0
0 81 0 0 4
1 0 0 -304.271804139237 5
1 5 0 -24.2718041392367 5
0 47 0 0 0
1 55 0 1.72819586076332 5
0 70 0 0 4
1 71 0 5.72819586076332 0
1 73 0 -223.271804139237 2
1 34 0 163.728195860763 5
0 1 0 0 5
0 88 0 0 1
1 12 0 95.7281958607633 5
1 50 0 91.7281958607633 5
0 45 0 0 1
1 74 0 -70.2718041392367 5
0 27 0 0 1
1 42 0 103.728195860763 5
0 9 0 0 4
1 15 0 -110.271804139237 4
1 38 0 -316.271804139237 5
1 64 0 -196.271804139237 3
1 32 0 85.7281958607633 1
0 90 0 0 0
0 26 0 0 0
0 72 0 0 1
0 79 0 0 0
0 89 0 0 1
1 61 0 113.728195860763 0
1 13 0 176.728195860763 5
0 94 0 0 0
0 8 0 0 0
1 30 0 92.7281958607633 2
0 25 0 0 1
0 59 0 0 0
0 56 0 0 5
1 85 0 3.72819586076332 5
1 78 0 -117.271804139237 5
1 92 0 -73.2718041392367 5
0 83 0 0 1
1 49 0 -60.2718041392367 5
0 11 0 0 0
1 80 0 -19.2718041392367 5
0 51 0 0 4
0 95 0 0 1
1 21 0 -145.271804139237 5
0 63 0 0 1
0 60 0 0 0
0 91 0 0 1
0 20 0 0 5
1 35 0 -309.271804139237 5
0 18 0 0 1
0 23 0 0 0
0 16 0 0 1
0 39 0 0 0
1 10 0 84.7281958607633 1
0 33 0 0 0
1 19 1 -17.2718041392367 1
1 54 1 -161.271804139237 4
1 36 1 -196.271804139237 5
0 26 1 0 1
0 35 1 0 3
0 17 1 0 3
1 89 1 -31.2718041392367 4
1 28 1 -84.2718041392367 2
1 30 1 143.728195860763 5
1 0 1 -132.271804139237 3
1 67 1 117.728195860763 0
0 95 1 0 0
0 65 1 0 1
1 23 1 120.728195860763 5
0 75 1 0 1
1 24 1 -138.271804139237 5
1 47 1 98.7281958607633 4
0 76 1 0 1
1 33 1 243.728195860763 4
0 52 1 0 2
0 68 1 0 1
0 31 1 0 1
1 83 1 -180.271804139237 3
0 48 1 0 3
1 21 1 -237.271804139237 5
0 69 1 0 2
0 55 1 0 3
0 2 1 0 0
0 8 1 0 4
1 66 1 25.7281958607633 3
0 92 1 0 3
1 77 1 145.728195860763 1
1 81 1 100.728195860763 5
1 25 1 115.728195860763 5
1 39 1 -119.271804139237 4
1 86 1 144.728195860763 0
1 74 1 -317.271804139237 5
0 15 1 0 1
0 80 1 0 0
1 29 1 -243.271804139237 1
1 60 1 174.728195860763 5
0 13 1 0 5
0 82 1 0 0
0 59 1 0 1
0 37 1 0 0
1 11 1 43.7281958607633 4
0 46 1 0 1
1 62 1 -138.271804139237 4
0 94 1 0 5
1 91 1 244.728195860763 5
1 49 1 79.7281958607633 5
1 96 1 -218.271804139237 3
1 45 1 229.728195860763 5
1 27 1 302.728195860763 4
0 71 1 0 2
0 87 1 0 0
0 50 1 0 2
1 32 1 -203.271804139237 1
0 6 1 0 2
1 85 1 -39.2718041392367 5
0 1 1 0 0
1 88 1 -174.271804139237 4
1 84 1 214.728195860763 5
0 93 1 0 0
1 70 1 178.728195860763 5
0 61 1 0 0
1 3 1 21.7281958607633 2
1 14 1 142.728195860763 5
1 18 1 98.7281958607633 5
1 64 1 155.728195860763 3
0 22 1 0 0
0 51 1 0 1
0 72 1 0 3
1 10 1 -7.27180413923668 3
0 38 1 0 1
0 57 1 0 0
0 7 1 0 1
0 79 1 0 1
1 12 1 -110.271804139237 5
1 34 1 187.728195860763 2
1 53 1 79.7281958607633 4
1 9 1 249.728195860763 5
0 78 1 0 2
1 90 1 75.7281958607633 5
1 4 1 21.7281958607633 4
1 43 1 57.7281958607633 5
0 20 1 0 1
0 58 1 0 0
0 41 1 0 2
0 5 1 0 0
1 42 1 -39.2718041392367 1
1 73 1 15.7281958607633 5
0 56 1 0 0
1 16 1 173.728195860763 5
1 44 1 128.728195860763 5
1 40 1 -101.271804139237 5
1 63 1 -95.2718041392367 1
1 31 2 108.728195860763 4
0 75 2 0 5
1 69 2 232.728195860763 0
0 6 2 0 0
0 95 2 0 5
1 13 2 -164.271804139237 0
0 81 2 0 3
1 93 2 -14.2718041392367 1
1 2 2 78.7281958607633 4
1 51 2 260.728195860763 5
1 18 2 283.728195860763 5
1 65 2 201.728195860763 4
1 39 2 -135.271804139237 4
0 11 2 0 4
1 7 2 -189.271804139237 2
1 50 2 69.7281958607633 3
0 74 2 0 5
0 41 2 0 4
0 79 2 0 3
0 64 2 0 5
0 9 2 0 2
0 85 2 0 2
1 77 2 112.728195860763 4
0 59 2 0 1
0 27 2 0 4
0 80 2 0 2
0 20 2 0 3
1 40 2 58.7281958607633 0
0 5 2 0 1
1 90 2 162.728195860763 4
0 55 2 0 1
0 37 2 0 0
1 43 2 -311.271804139237 5
0 86 2 0 2
1 0 2 301.728195860763 2
0 83 2 0 1
1 63 2 -49.2718041392367 5
0 36 2 0 5
0 62 2 0 2
1 58 2 141.728195860763 2
1 66 2 264.728195860763 4
1 76 2 -104.271804139237 5
1 46 2 -222.271804139237 4
1 72 2 192.728195860763 3
1 1 2 78.7281958607633 5
1 48 2 150.728195860763 3
1 42 2 -60.2718041392367 4
0 60 2 0 3
0 25 2 0 3
0 88 2 0 3
0 52 2 0 2
0 70 2 0 1
1 45 2 -162.271804139237 4
0 68 2 0 5
0 57 2 0 1
1 26 2 282.728195860763 1
0 56 2 0 5
1 15 2 -183.271804139237 4
0 10 2 0 4
0 21 2 0 5
1 44 2 -243.271804139237 4
1 19 2 -174.271804139237 3
0 8 2 0 4
0 49 2 0 4
0 78 2 0 2
0 23 2 0 0
1 73 2 20.7281958607633 0
1 33 2 124.728195860763 5
1 53 2 -105.271804139237 5
1 16 2 -34.2718041392367 4
1 87 2 -145.271804139237 1
0 29 2 0 1
0 96 2 0 2
0 35 2 0 5
0 30 2 0 5
0 28 2 0 2
1 67 2 71.7281958607633 4
1 61 2 126.728195860763 0
0 4 2 0 5
1 91 2 63.7281958607633 4
0 24 2 0 0
0 47 2 0 2
1 12 2 -134.271804139237 2
0 82 2 0 5
0 71 2 0 3
1 22 2 -295.271804139237 5
1 32 2 106.728195860763 4
1 34 2 79.7281958607633 4
1 89 2 -54.2718041392367 4
0 3 2 0 2
0 92 2 0 1
0 14 2 0 1
1 94 2 -257.271804139237 0
0 38 2 0 4
1 17 2 -229.271804139237 4
0 54 2 0 4
1 84 2 209.728195860763 3
1 41 3 -10.2718041392367 5
1 77 3 121.728195860763 5
0 2 3 0 1
0 96 3 0 1
1 17 3 -228.271804139237 5
1 81 3 -101.271804139237 5
0 53 3 0 5
0 80 3 0 0
0 1 3 0 0
1 90 3 210.728195860763 5
0 8 3 0 1
0 83 3 0 1
1 15 3 64.7281958607633 2
0 46 3 0 2
1 45 3 -54.2718041392367 4
0 72 3 0 2
1 40 3 142.728195860763 0
0 28 3 0 2
0 48 3 0 4
0 37 3 0 5
0 84 3 0 1
0 58 3 0 0
1 14 3 -172.271804139237 5
0 34 3 0 3
0 6 3 0 3
1 32 3 -67.2718041392367 1
1 87 3 -137.271804139237 0
1 92 3 -133.271804139237 1
1 68 3 -215.271804139237 5
1 93 3 101.728195860763 5
1 43 3 -10.2718041392367 4
0 76 3 0 1
0 38 3 0 0
0 35 3 0 4
1 74 3 -139.271804139237 5
0 21 3 0 0
0 36 3 0 0
0 31 3 0 0
0 20 3 0 0
0 9 3 0 2
1 26 3 195.728195860763 4
1 61 3 167.728195860763 4
1 79 3 -100.271804139237 5
0 7 3 0 0
1 49 3 -1.27180413923668 5
1 12 3 -272.271804139237 5
1 33 3 136.728195860763 5
0 5 3 0 0
1 39 3 -167.271804139237 0
0 78 3 0 1
0 64 3 0 2
0 73 3 0 0
0 94 3 0 1
1 82 3 -159.271804139237 4
0 59 3 0 0
0 16 3 0 1
1 63 3 15.7281958607633 5
0 65 3 0 0
1 50 3 -278.271804139237 5
0 52 3 0 2
1 3 3 29.7281958607633 5
0 23 3 0 0
1 44 3 161.728195860763 2
1 25 3 116.728195860763 3
0 85 3 0 2
0 24 3 0 1
1 54 3 222.728195860763 1
1 67 3 133.728195860763 5
1 66 3 -144.271804139237 5
0 42 3 0 1
1 69 3 -0.271804139236679 4
1 89 3 -277.271804139237 5
1 10 3 -74.2718041392367 5
1 71 3 -161.271804139237 5
1 4 3 29.7281958607633 2
0 27 3 0 0
0 86 3 0 0
1 19 3 -24.2718041392367 3
0 30 3 0 0
0 95 3 0 0
0 60 3 0 1
0 18 3 0 3
1 55 3 -207.271804139237 5
1 75 3 -79.2718041392367 4
1 57 3 85.7281958607633 0
1 0 3 -118.271804139237 5
1 22 3 138.728195860763 5
0 11 3 0 1
0 47 3 0 1
1 29 3 12.7281958607633 4
1 13 3 183.728195860763 5
0 88 3 0 1
0 62 3 0 2
1 51 3 39.7281958607633 1
1 70 3 127.728195860763 3
0 91 3 0 0
0 56 3 0 0
0 81 4 0 1
1 31 4 -274.271804139237 5
1 29 4 181.728195860763 4
0 62 4 0 2
1 20 4 -6.27180413923668 4
0 86 4 0 0
1 35 4 174.728195860763 4
1 27 4 226.728195860763 5
0 61 4 0 0
0 10 4 0 4
1 5 4 189.728195860763 5
0 95 4 0 0
0 83 4 0 0
1 52 4 191.728195860763 1
0 47 4 0 1
0 18 4 0 2
0 65 4 0 1
0 6 4 0 0
0 21 4 0 0
0 7 4 0 0
0 91 4 0 0
1 78 4 28.7281958607633 3
1 71 4 -144.271804139237 5
1 43 4 -161.271804139237 5
0 90 4 0 0
1 44 4 258.728195860763 4
1 37 4 -37.2718041392367 5
1 80 4 213.728195860763 5
1 82 4 184.728195860763 0
0 85 4 0 1
1 25 4 63.7281958607633 5
0 13 4 0 0
0 23 4 0 0
1 92 4 116.728195860763 3
0 33 4 0 1
1 30 4 -133.271804139237 5
0 57 4 0 0
0 87 4 0 2
0 59 4 0 1
0 74 4 0 2
0 53 4 0 0
1 88 4 -132.271804139237 0
1 77 4 -173.271804139237 5
0 60 4 0 0
1 12 4 -278.271804139237 4
0 58 4 0 1
0 36 4 0 0
1 15 4 -102.271804139237 5
