"cond" "Scond" "sub" "item" "lag" "resp"
0 1 22 1 120.728195860763 5
0 0 74 1 0 1
0 1 23 1 -138.271804139237 5
0 1 46 1 98.7281958607633 4
0 0 75 1 0 1
0 1 32 1 243.728195860763 4
0 0 51 1 0 2
0 0 67 1 0 1
0 0 30 1 0 1
0 1 82 1 -180.271804139237 3
0 0 47 1 0 3
0 1 20 1 -237.271804139237 5
0 0 68 1 0 2
0 0 54 1 0 3
0 0 2 1 0 0
0 0 8 1 0 4
0 1 65 1 25.7281958607633 3
0 0 91 1 0 3
0 1 76 1 145.728195860763 1
0 1 80 1 100.728195860763 5
0 1 24 1 115.728195860763 5
0 1 38 1 -119.271804139237 4
0 1 85 1 144.728195860763 0
0 1 73 1 -317.271804139237 5
0 0 14 1 0 1
0 0 79 1 0 0
0 1 28 1 -243.271804139237 1
0 1 59 1 174.728195860763 5
0 0 81 1 0 0
0 0 58 1 0 1
0 0 36 1 0 0
0 1 11 1 43.7281958607633 4
0 0 45 1 0 1
0 1 61 1 -138.271804139237 4
0 0 93 1 0 5
0 1 90 1 244.728195860763 5
0 1 48 1 79.7281958607633 5
0 1 94 1 -218.271804139237 3
0 1 44 1 229.728195860763 5
0 1 26 1 302.728195860763 4
0 0 70 1 0 2
0 0 86 1 0 0
0 0 49 1 0 2
0 1 31 1 -203.271804139237 1
0 0 6 1 0 2
0 1 84 1 -39.2718041392367 5
0 0 1 1 0 0
0 1 87 1 -174.271804139237 4
0 1 83 1 214.728195860763 5
0 0 92 1 0 0
0 1 69 1 178.728195860763 5
0 0 60 1 0 0
0 1 3 1 21.7281958607633 2
0 1 13 1 142.728195860763 5
0 1 17 1 98.7281958607633 5
0 1 63 1 155.728195860763 3
0 0 21 1 0 0
0 0 50 1 0 1
0 0 71 1 0 3
0 1 10 1 -7.27180413923668 3
0 0 37 1 0 1
0 0 56 1 0 0
0 0 7 1 0 1
0 0 78 1 0 1
0 1 12 1 -110.271804139237 5
0 1 33 1 187.728195860763 2
0 1 52 1 79.7281958607633 4
0 1 9 1 249.728195860763 5
0 0 77 1 0 2
0 1 89 1 75.7281958607633 5
0 1 4 1 21.7281958607633 4
0 1 42 1 57.7281958607633 5
0 0 19 1 0 1
0 0 57 1 0 0
0 0 40 1 0 2
0 0 5 1 0 0
0 1 41 1 -39.2718041392367 1
0 1 72 1 15.7281958607633 5
0 0 55 1 0 0
0 1 15 1 173.728195860763 5
0 1 43 1 128.728195860763 5
0 1 39 1 -101.271804139237 5
0 1 62 1 -95.2718041392367 1
0 1 30 2 108.728195860763 4
0 0 74 2 0 5
0 1 68 2 232.728195860763 0
0 0 6 2 0 0
0 0 80 2 0 3
0 1 92 2 -14.2718041392367 1
0 1 2 2 78.7281958607633 4
0 1 50 2 260.728195860763 5
0 1 17 2 283.728195860763 5
0 1 64 2 201.728195860763 4
0 1 38 2 -135.271804139237 4
0 0 11 2 0 4
0 1 7 2 -189.271804139237 2
0 1 49 2 69.7281958607633 3
0 0 73 2 0 5
0 0 40 2 0 4
0 0 78 2 0 3
0 0 63 2 0 5
0 0 9 2 0 2
0 0 84 2 0 2
0 1 76 2 112.728195860763 4
0 0 58 2 0 1
0 0 26 2 0 4
0 0 79 2 0 2
0 0 19 2 0 3
0 1 39 2 58.7281958607633 0
0 0 5 2 0 1
0 1 89 2 162.728195860763 4
0 0 54 2 0 1
0 0 36 2 0 0
0 1 42 2 -311.271804139237 5
0 0 85 2 0 2
0 1 0 2 301.728195860763 2
0 0 82 2 0 1
0 1 62 2 -49.2718041392367 5
0 0 35 2 0 5
0 0 61 2 0 2
0 1 57 2 141.728195860763 2
0 1 65 2 264.728195860763 4
0 1 75 2 -104.271804139237 5
0 1 45 2 -222.271804139237 4
0 1 71 2 192.728195860763 3
0 1 1 2 78.7281958607633 5
0 1 47 2 150.728195860763 3
0 1 41 2 -60.2718041392367 4
0 0 59 2 0 3
0 0 24 2 0 3
0 0 87 2 0 3
0 0 51 2 0 2
0 0 69 2 0 1
0 1 44 2 -162.271804139237 4
0 0 67 2 0 5
0 0 56 2 0 1
0 1 25 2 282.728195860763 1
0 0 55 2 0 5
0 1 14 2 -183.271804139237 4
0 0 10 2 0 4
0 0 20 2 0 5
0 1 43 2 -243.271804139237 4
0 1 18 2 -174.271804139237 3
0 0 8 2 0 4
0 0 48 2 0 4
0 0 77 2 0 2
0 0 22 2 0 0
0 1 72 2 20.7281958607633 0
0 1 32 2 124.728195860763 5
0 1 52 2 -105.271804139237 5
0 1 15 2 -34.2718041392367 4
0 1 86 2 -145.271804139237 1
0 0 28 2 0 1
0 0 94 2 0 2
0 0 34 2 0 5
0 0 29 2 0 5
0 0 27 2 0 2
0 1 66 2 71.7281958607633 4
0 1 60 2 126.728195860763 0
0 0 4 2 0 5
0 1 90 2 63.7281958607633 4
0 0 23 2 0 0
0 0 46 2 0 2
0 1 12 2 -134.271804139237 2
0 0 81 2 0 5
0 0 70 2 0 3
0 1 21 2 -295.271804139237 5
0 1 31 2 106.728195860763 4
0 1 33 2 79.7281958607633 4
0 1 88 2 -54.2718041392367 4
0 0 3 2 0 2
0 0 91 2 0 1
0 0 13 2 0 1
0 1 93 2 -257.271804139237 0
0 0 37 2 0 4
0 1 16 2 -229.271804139237 4
0 0 53 2 0 4
0 1 83 2 209.728195860763 3
0 1 40 3 -10.2718041392367 5
0 1 76 3 121.728195860763 5
0 0 2 3 0 1
0 0 94 3 0 1
0 1 16 3 -228.271804139237 5
0 1 80 3 -101.271804139237 5
0 0 52 3 0 5
0 0 79 3 0 0
0 0 1 3 0 0
0 1 89 3 210.728195860763 5
0 0 8 3 0 1
0 0 82 3 0 1
0 1 14 3 64.7281958607633 2
0 0 45 3 0 2
0 1 44 3 -54.2718041392367 4
0 0 71 3 0 2
0 1 39 3 142.728195860763 0
0 0 27 3 0 2
0 0 47 3 0 4
0 0 36 3 0 5
0 0 83 3 0 1
0 0 57 3 0 0
0 1 13 3 -172.271804139237 5
0 0 33 3 0 3
0 0 6 3 0 3
0 1 31 3 -67.2718041392367 1
0 1 86 3 -137.271804139237 0
0 1 91 3 -133.271804139237 1
0 1 67 3 -215.271804139237 5
0 1 92 3 101.728195860763 5
0 1 42 3 -10.2718041392367 4
0 0 75 3 0 1
0 0 37 3 0 0
0 0 34 3 0 4
0 1 73 3 -139.271804139237 5
0 0 20 3 0 0
0 0 35 3 0 0
0 0 30 3 0 0
0 0 19 3 0 0
0 0 9 3 0 2
0 1 25 3 195.728195860763 4
0 1 60 3 167.728195860763 4
0 1 78 3 -100.271804139237 5
0 0 7 3 0 0
0 1 48 3 -1.27180413923668 5
0 1 12 3 -272.271804139237 5
0 1 32 3 136.728195860763 5
0 0 5 3 0 0
0 1 38 3 -167.271804139237 0
0 0 77 3 0 1
0 0 63 3 0 2
0 0 72 3 0 0
0 0 93 3 0 1
0 1 81 3 -159.271804139237 4
0 0 58 3 0 0
0 0 15 3 0 1
0 1 62 3 15.7281958607633 5
0 0 64 3 0 0
0 1 49 3 -278.271804139237 5
0 0 51 3 0 2
0 1 3 3 29.7281958607633 5
0 0 22 3 0 0
0 1 43 3 161.728195860763 2
0 1 24 3 116.728195860763 3
0 0 84 3 0 2
0 0 23 3 0 1
0 1 53 3 222.728195860763 1
0 1 66 3 133.728195860763 5
0 1 65 3 -144.271804139237 5
0 0 41 3 0 1
0 1 68 3 -0.271804139236679 4
0 1 88 3 -277.271804139237 5
0 1 10 3 -74.2718041392367 5
0 1 70 3 -161.271804139237 5
0 1 4 3 29.7281958607633 2
0 0 26 3 0 0
0 0 85 3 0 0
0 1 18 3 -24.2718041392367 3
0 0 29 3 0 0
0 0 59 3 0 1
0 0 17 3 0 3
0 1 54 3 -207.271804139237 5
0 1 74 3 -79.2718041392367 4
0 1 56 3 85.7281958607633 0
0 1 0 3 -118.271804139237 5
0 1 21 3 138.728195860763 5
0 0 11 3 0 1
0 0 46 3 0 1
0 1 28 3 12.7281958607633 4
0 0 87 3 0 1
0 0 61 3 0 2
0 1 50 3 39.7281958607633 1
0 1 69 3 127.728195860763 3
0 0 90 3 0 0
0 0 55 3 0 0
0 0 80 4 0 1
0 1 30 4 -274.271804139237 5
0 1 28 4 181.728195860763 4
0 0 61 4 0 2
0 1 19 4 -6.27180413923668 4
0 0 85 4 0 0
0 1 34 4 174.728195860763 4
0 1 26 4 226.728195860763 5
0 0 60 4 0 0
0 0 10 4 0 4
0 1 5 4 189.728195860763 5
0 0 82 4 0 0
0 1 51 4 191.728195860763 1
0 0 46 4 0 1
0 0 17 4 0 2
0 0 64 4 0 1
0 0 6 4 0 0
0 0 20 4 0 0
0 0 7 4 0 0
0 0 90 4 0 0
0 1 77 4 28.7281958607633 3
0 1 70 4 -144.271804139237 5
0 1 42 4 -161.271804139237 5
0 0 89 4 0 0
0 1 43 4 258.728195860763 4
0 1 36 4 -37.2718041392367 5
0 1 79 4 213.728195860763 5
0 1 81 4 184.728195860763 0
0 0 84 4 0 1
0 1 24 4 63.7281958607633 5
0 0 22 4 0 0
0 1 91 4 116.728195860763 3
0 0 32 4 0 1
0 1 29 4 -133.271804139237 5
0 0 56 4 0 0
0 0 86 4 0 2
0 0 58 4 0 1
0 0 73 4 0 2
0 0 52 4 0 0
0 1 87 4 -132.271804139237 0
0 1 76 4 -173.271804139237 5
0 0 59 4 0 0
0 1 12 4 -278.271804139237 4
0 0 57 4 0 1
0 0 35 4 0 0
0 1 14 4 -102.271804139237 5
0 1 27 4 -129.271804139237 4
0 1 2 4 -41.2718041392367 5
0 1 55 4 62.7281958607633 5
0 0 4 4 0 1
0 0 25 4 0 5
0 1 66 4 314.728195860763 5
0 1 65 4 175.728195860763 5
